년월별,연도,월,연월,지역,광역지자체,광역지자체코드,시군구,인원
Mar-23,2023,03,202303,강원도 강릉시,강원도,1,강릉시,691
Mar-23,2023,03,202303,강원도 고성군,강원도,1,고성군,20
Mar-23,2023,03,202303,강원도 동해시,강원도,1,동해시,268
Mar-23,2023,03,202303,강원도 삼척시,강원도,1,삼척시,76
Mar-23,2023,03,202303,강원도 속초시,강원도,1,속초시,205
Mar-23,2023,03,202303,강원도 양구군,강원도,1,양구군,37
Mar-23,2023,03,202303,강원도 양양군,강원도,1,양양군,60
Mar-23,2023,03,202303,강원도 영월군,강원도,1,영월군,79
Mar-23,2023,03,202303,강원도 원주시,강원도,1,원주시,1141
Mar-23,2023,03,202303,강원도 인제군,강원도,1,인제군,60
Mar-23,2023,03,202303,강원도 정선군,강원도,1,정선군,34
Mar-23,2023,03,202303,강원도 철원군,강원도,1,철원군,122
Mar-23,2023,03,202303,강원도 춘천시,강원도,1,춘천시,1145
Mar-23,2023,03,202303,강원도 태백시,강원도,1,태백시,90
Mar-23,2023,03,202303,강원도 평창군,강원도,1,평창군,15
Mar-23,2023,03,202303,강원도 홍천군,강원도,1,홍천군,147
Mar-23,2023,03,202303,강원도 화천군,강원도,1,화천군,25
Mar-23,2023,03,202303,강원도 횡성군,강원도,1,횡성군,100
Mar-23,2023,03,202303,경기도 가평군,경기도,2,가평군,53
Mar-23,2023,03,202303,경기도 고양시,경기도,2,고양시,2481
Mar-23,2023,03,202303,경기도 과천시,경기도,2,과천시,26
Mar-23,2023,03,202303,경기도 광명시,경기도,2,광명시,1449
Mar-23,2023,03,202303,경기도 광주시,경기도,2,광주시,170
Mar-23,2023,03,202303,경기도 구리시,경기도,2,구리시,282
Mar-23,2023,03,202303,경기도 군포시,경기도,2,군포시,488
Mar-23,2023,03,202303,경기도 김포시,경기도,2,김포시,595
Mar-23,2023,03,202303,경기도 남양주시,경기도,2,남양주시,403
Mar-23,2023,03,202303,경기도 동두천시,경기도,2,동두천시,247
Mar-23,2023,03,202303,경기도 부천시,경기도,2,부천시,430
Mar-23,2023,03,202303,경기도 성남시,경기도,2,성남시,591
Mar-23,2023,03,202303,경기도 수원시,경기도,2,수원시,1884
Mar-23,2023,03,202303,경기도 시흥시,경기도,2,시흥시,412
Mar-23,2023,03,202303,경기도 안산시,경기도,2,안산시,448
Mar-23,2023,03,202303,경기도 안성시,경기도,2,안성시,199
Mar-23,2023,03,202303,경기도 안양시,경기도,2,안양시,769
Mar-23,2023,03,202303,경기도 양주시,경기도,2,양주시,179
Mar-23,2023,03,202303,경기도 양평군,경기도,2,양평군,153
Mar-23,2023,03,202303,경기도 여주시,경기도,2,여주시,170
Mar-23,2023,03,202303,경기도 연천군,경기도,2,연천군,83
Mar-23,2023,03,202303,경기도 오산시,경기도,2,오산시,173
Mar-23,2023,03,202303,경기도 용인시,경기도,2,용인시,464
Mar-23,2023,03,202303,경기도 의왕시,경기도,2,의왕시,111
Mar-23,2023,03,202303,경기도 의정부시,경기도,2,의정부시,765
Mar-23,2023,03,202303,경기도 이천시,경기도,2,이천시,120
Mar-23,2023,03,202303,경기도 파주시,경기도,2,파주시,338
Mar-23,2023,03,202303,경기도 평택시,경기도,2,평택시,678
Mar-23,2023,03,202303,경기도 포천시,경기도,2,포천시,168
Mar-23,2023,03,202303,경기도 하남시,경기도,2,하남시,235
Mar-23,2023,03,202303,경기도 화성시,경기도,2,화성시,252
Mar-23,2023,03,202303,경남 거제시,경남,3,거제시,195
Mar-23,2023,03,202303,경남 거창군,경남,3,거창군,100
Mar-23,2023,03,202303,경남 고성군,경남,3,고성군,101
Mar-23,2023,03,202303,경남 김해시,경남,3,김해시,674
Mar-23,2023,03,202303,경남 남해군,경남,3,남해군,58
Mar-23,2023,03,202303,경남 밀양시,경남,3,밀양시,223
Mar-23,2023,03,202303,경남 사천시,경남,3,사천시,59
Mar-23,2023,03,202303,경남 산청군,경남,3,산청군,24
Mar-23,2023,03,202303,경남 양산시,경남,3,양산시,333
Mar-23,2023,03,202303,경남 의령군,경남,3,의령군,56
Mar-23,2023,03,202303,경남 진주시,경남,3,진주시,785
Mar-23,2023,03,202303,경남 창녕군,경남,3,창녕군,20
Mar-23,2023,03,202303,경남 창원시,경남,3,창원시,2338
Mar-23,2023,03,202303,경남 통영시,경남,3,통영시,211
Mar-23,2023,03,202303,경남 하동군,경남,3,하동군,68
Mar-23,2023,03,202303,경남 함안군,경남,3,함안군,96
Mar-23,2023,03,202303,경남 함양군,경남,3,함양군,66
Mar-23,2023,03,202303,경남 합천군,경남,3,합천군,58
Mar-23,2023,03,202303,경북 경산시,경북,4,경산시,706
Mar-23,2023,03,202303,경북 경주시,경북,4,경주시,934
Mar-23,2023,03,202303,경북 고령군,경북,4,고령군,55
Mar-23,2023,03,202303,경북 구미시,경북,4,구미시,556
Mar-23,2023,03,202303,경북 김천시,경북,4,김천시,297
Mar-23,2023,03,202303,경북 문경시,경북,4,문경시,219
Mar-23,2023,03,202303,경북 봉화군,경북,4,봉화군,38
Mar-23,2023,03,202303,경북 상주시,경북,4,상주시,350
Mar-23,2023,03,202303,경북 성주군,경북,4,성주군,76
Mar-23,2023,03,202303,경북 안동시,경북,4,안동시,532
Mar-23,2023,03,202303,경북 영덕군,경북,4,영덕군,103
Mar-23,2023,03,202303,경북 영양군,경북,4,영양군,31
Mar-23,2023,03,202303,경북 영주시,경북,4,영주시,284
Mar-23,2023,03,202303,경북 영천시,경북,4,영천시,246
Mar-23,2023,03,202303,경북 예천군,경북,4,예천군,65
Mar-23,2023,03,202303,경북 울진군,경북,4,울진군,47
Mar-23,2023,03,202303,경북 의성군,경북,4,의성군,123
Mar-23,2023,03,202303,경북 청도군,경북,4,청도군,96
Mar-23,2023,03,202303,경북 칠곡군,경북,4,칠곡군,80
Mar-23,2023,03,202303,경북 포항시,경북,4,포항시,1303
Mar-23,2023,03,202303,광주시 광산구,광주시,5,광산구,15
Mar-23,2023,03,202303,광주시 남구,광주시,5,남구,53
Mar-23,2023,03,202303,광주시 동구,광주시,5,동구,31
